sample	path
Bovin-37610	m64122_200528_103307.Q20.fastq
Bovin-37160-CLR	/work/project/seqoccin/data/reads/PacBio/bos_taurus/CLR/Trio2.offspring.run1-GetPlage.CLR/m64122_200304_180044.subreads.bam
MBS847	/work/project/seqoccin/data/reads/PacBio/zea_mais/MBS847_HiFi/1eSMRTCell/Analyse_CCS/m64122_200608_001220.ccs.bam,/work/project/seqoccin/data/reads/PacBio/zea_mais/MBS847_HiFi/2eSMRTCell/Analyse_CCS/m64122_200620_042247.ccs.bam
